cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank
EXEWAG_clean,Zn,Unmodified,0,1515.29,1.4602643718364143,7.6405,0.553181,0.5904,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2445,429
MATTUX_clean,Zn,Unmodified,0,1499.04,1.409285943003522,6.25712,0.528144,0.5648,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2446,429
CUDQAV_clean,Zn,Unmodified,0,1545.03,1.425533484786703,7.06893,0.550623,0.6292,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2447,429
CUDQEZ_clean,Zn,Unmodified,0,1546.2,1.426260509636528,7.18206,0.551321,0.6296,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2448,429
IYITOB_clean,Zn,Unmodified,0,1483.56,1.509690204642886,9.11454,0.559929,0.654,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2449,429
IYOCUW_clean,Zn,Unmodified,0,1497.81,1.4798031793084574,8.90958,0.554116,0.6506,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2450,429
ROTTOL_clean,Zn,Unmodified,0,1500.07,1.4648489737145602,6.50353,0.549344,0.5582,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2451,429
SAHWUW_clean,Zn,Unmodified,0,1461.09,1.5130484775065194,9.0448,0.552675,0.6082,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.4044355979188,2452,429
ETEXEI01_clean,Zn,Unmodified,0,997.869,1.6696660583703873,5.81183,0.416527,0.6306,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.400937568603936,2453,430
VIYTAA_clean,Zn,Unmodified,0,984.278,1.6769164809129127,5.13433,0.412638,0.541,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.400937568603936,2454,430
ETEXEI_clean,Zn,Unmodified,0,984.721,1.655120587455736,5.78427,0.407458,0.622,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.400937568603936,2455,430
HIWLOQ_clean,Zn,Unmodified,0,980.742,1.5955552020816894,5.62306,0.391207,0.6176,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.400937568603936,2456,430
XICYUF_clean,Zr,Unmodified,0,1685.86,1.6830389237540484,28.67887,0.709342,0.7044,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,62.389824786666544,2457,35
NUYNEC_clean,Ti,Unmodified,0,1755.01,1.3992057025316098,8.26029,0.613905,0.6224,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,62.38905463814922,2458,12
VUMBOW_clean,Cu,Unmodified,0,482.833,2.1847719604915157,6.23579,0.26372,0.4186,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,62.36217936131328,2459,201
NIKZAJ01_clean,Fe,Unmodified,0,384.965,2.486044185835076,4.60883,0.23926,0.4298,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,62.360867722963,2460,62
TONBII_clean,Fe,Unmodified,0,366.998,2.477909961362187,4.87753,0.227347,0.365,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,62.360867722963,2461,62
ERANUI_clean,Zr,Unmodified,0,1805.37,1.3242404604042386,8.66627,0.597686,0.6488,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,62.35868946247964,2462,36
NEHZIK_clean,Zn,Unmodified,0,1031.85,1.736481077676019,7.34019,0.447947,0.5382,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2463,431
EKEKOW_clean,Zn,Unmodified,0,1085.27,1.7340016770020366,7.39946,0.470465,0.5626,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2464,431
ESARUN_clean,Zn,Unmodified,0,1061.99,1.7325360879104321,6.08793,0.459984,0.5254,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2465,431
CUVVOG_clean,Zn,Unmodified,0,1033.84,1.727663855141995,8.37247,0.446532,0.5362,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2466,431
HAVWEI_clean,Zn,Unmodified,0,1067.12,1.7674863183147165,6.12028,0.47153,0.5308,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2467,431
GORJEE_clean,Zn,Unmodified,0,1085.53,1.7333947472663125,6.22352,0.470413,0.5994,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2468,431
KANDIO_clean,Zn,Unmodified,0,1078.45,1.7242969075988688,6.34814,0.464892,0.5426,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2469,431
AWEJES_clean,Zn,Unmodified,0,1032.26,1.7552903338306243,9.0974,0.452979,0.562,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.347992250534055,2470,431
HURFIL_clean,Zn,Unmodified,0,1320.52,1.5457547026928784,5.53219,0.5103,0.5764,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.33035923695939,2471,432
QOMFAA_clean,Zn,Unmodified,0,1371.17,1.5703523268449573,5.35735,0.538305,0.5824,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.33035923695939,2472,432
IXURID_clean,Zn,Unmodified,0,1388.68,1.4189964570671427,5.42414,0.492633,0.5668,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.33035923695939,2473,432
OJIWAG_clean,Zn,Unmodified,0,1343.75,1.5049317209302324,5.38643,0.505563,0.561,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.33035923695939,2474,432
UVUQAE_clean,Zn,Unmodified,0,1323.7,1.4441157361940016,5.89761,0.477894,0.5466,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.33035923695939,2475,432
GAJVIY_charged,Zn,Unmodified,0,1385.93,1.5746913624786243,5.63813,0.545603,0.5626,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.33035923695939,2476,432
RISBIG_clean,Zn,Unmodified,0,1355.18,1.546176891630632,5.4733,0.523837,0.543,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.33035923695939,2477,432
RUSWUZ_clean,Nd,Unmodified,0,1232.81,1.5007989876785557,6.54942,0.46255,0.5598,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.28055635206578,2478,82
RUYGEZ_clean,Zn,Unmodified,0,302.791,1.5607993632571642,5.63833,0.118149,0.466,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.26586423486896,2479,433
TAWSUI_clean,Zn,Unmodified,0,1108.44,1.4554653386741727,5.20958,0.403324,0.6298,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.24745602805093,2480,434
NOHSIM01_clean,Zn,Unmodified,0,1052.99,1.5651392700785383,4.97938,0.412019,0.5942,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.24745602805093,2481,434
